date,event_time,year,month,equipment_category,equipment_id,fuel_liter,status_text,source_sheet,source_file,source_row,source_event_key,data_status,issue_code
2026-08-23,09:00:13,2026,8,HEAD_TRUCK,156,76.27,online,N/A,ujb_dashboard_scrape,123,20660d66664d226c8c119e7b426a154d36b08c0c,VALID,
2026-08-23,08:57:58,2026,8,HEAD_TRUCK,131,78.09,online,N/A,ujb_dashboard_scrape,124,2934451c47797f797c2fc71d206c0ce2b37bcdd8,VALID,
2026-08-23,08:57:36,2026,8,HEAD_TRUCK,201,59.27,online,N/A,ujb_dashboard_scrape,125,7bd314d433eae0c64478a94a9922f029efe39025,VALID,
2026-08-23,08:55:09,2026,8,HEAD_TRUCK,147,87.96,online,N/A,ujb_dashboard_scrape,126,7dd1d94a36db99a6c6229524dca0ba667a50189a,VALID,
2026-08-23,08:54:25,2026,8,HEAD_TRUCK,191,78.72,online,N/A,ujb_dashboard_scrape,127,c513dfd0695612a22a9d9ae69c6a45d8607bcc65,VALID,
2026-08-23,08:52:02,2026,8,HEAD_TRUCK,161,75.69,online,N/A,ujb_dashboard_scrape,128,4c3a64e69ceaf09d9de4b86e4489fde5c81d4419,VALID,
2026-08-23,08:51:15,2026,8,HEAD_TRUCK,199,69.93,online,N/A,ujb_dashboard_scrape,129,09938209b8652883601639d8f1256270971a6c9f,VALID,
2026-08-23,08:49:11,2026,8,HEAD_TRUCK,136,75.44,online,N/A,ujb_dashboard_scrape,130,3c229785c209107cb1ac603f161ba323d9e4a593,VALID,
2026-08-23,08:48:27,2026,8,HEAD_TRUCK,174,76.17,online,N/A,ujb_dashboard_scrape,131,bc1a8328008e31ef0c53beccea0f8e215ebf06c7,VALID,
2026-08-23,08:47:07,2026,8,HEAD_TRUCK,162,71.15,online,N/A,ujb_dashboard_scrape,132,5c109f2a767f2a902402dea7e7fe305ef67aa2ac,VALID,
2026-08-23,08:44:53,2026,8,HEAD_TRUCK,213,80.51,online,N/A,ujb_dashboard_scrape,133,da2b76c1c9b37cba286a63f52c3bba861561aaca,VALID,
